Site,site_Treatment, LON (NAD83 MTM (Modified Transverse Mercator) zone 6),LAT (NAD83 MTM (Modified Transverse Mercator) zone 6),LON E,LAT N
2010,3,23,1.8,36.3,-7.2
2010,3,24,12.7,6,-4.7
2010,3,25,0.7,0.3,-6.8
2010,3,26,0.6,0,-15
2010,3,27,0.3,0.7,-19.7
2010,3,28,0.2,30.2,-19.8
2010,3,29,13.6,29.9,-6
2010,3,30,0.7,2.4,-2.6
2010,3,31,1.7,0.4,-2.5
2010,4,1,0.1,0,-0.9
2010,4,2,0,0,-1.4
2010,4,3,0,0,3.1
2010,4,4,0,0.3,0.8
2010,4,5,0.6,2.6,1.7
2010,4,6,0,9.8,1.5
2010,4,7,1,3.1,-0.3
2010,4,8,0,8.8,-3.3
2010,4,9,21.1,7.5,-3.5
2010,4,10,1.7,1.1,-1.4
2010,4,11,0.5,0.2,-3.5
2010,4,12,0,0,-3.5
2010,4,13,0,0,-7.3
2010,4,14,0,0,-6.8
2010,4,15,0.7,5.3,-5.7
2010,4,16,0,13,-7.8
2010,4,17,0.4,6.6,-4.2
2010,4,18,4.6,3.2,-2.6
2010,4,19,4,0.9,-0.6
2010,4,20,0.4,0.4,0.5
2010,4,21,0.3,0.4,0.3
2010,4,22,0.2,0.3,-1.1
2010,4,23,0,0,-0.2
2010,4,24,0.3,1.5,-0.9
2010,4,25,0,0,-1.6
2010,4,26,0.3,4.4,-2.9
2010,4,27,0.8,38,-4.9
2010,4,28,0,0.9,-0.4
2010,4,29,10.7,2.9,-1.5
2010,4,30,0.9,0,-1.4
2010,5,1,0.3,1.2,-0.6
2010,5,2,8.9,13.6,0
2010,5,3,22,12.7,5.9
2010,5,4,0,6,1.4
2010,5,5,0.5,3.2,-0.3
2010,5,6,23.7,7.4,-1.1
2010,5,7,1.8,0.3,-0.5
2010,5,8,11.8,9,-0.2
2010,5,9,13.9,5.6,-0.8
2010,5,10,0.4,0,-1
2010,5,11,0,0,-0.9
2010,5,12,2,0.1,-4.2
2010,5,13,3.9,0,-1.9
2010,5,14,0,5.2,-1
2010,5,15,0.8,1.2,0.7
2010,5,16,4.6,0,-0.5
2010,5,17,0,0,0.8
2010,5,18,0,0,2.2
2010,5,19,0.7,0.1,4.2
2010,5,20,0,0.1,7
2010,5,21,0,0,-0.9
2010,5,22,0,0.2,0.9
2010,5,23,0,0,11.8
2010,5,24,0.6,3.3,12.1
2010,5,25,3.2,13.8,7.1
2010,5,26,0.3,2.1,4.9
2010,5,27,0,0.9,2.8
2010,5,28,0,0.1,3.6
2010,5,29,7.3,4,3.6
2010,5,30,0.1,0.1,3.7
2010,5,31,3,13.9,2.4
2010,6,1,0,9.1,5.3
2010,6,2,1.3,14.3,5.6
2010,6,3,0,2.5,7.4
2010,6,4,0,0.5,5.9
2010,6,5,31.2,14.3,7.8
2010,6,6,14.2,5.6,5.5
2010,6,7,3.4,4.7,4.7
2010,6,8,0.9,1.4,1.6
2010,6,9,0.2,0.9,2.6
2010,6,10,0,1.8,2.3
2010,6,11,0,0.7,3.9
2010,6,12,0,0.1,6.7
2010,6,13,0,0.1,3.9
2010,6,14,0,1.4,5.6
2010,6,15,1.5,0,2.8
2010,6,16,0,9.9,6.7
2010,6,17,0.5,0.1,11.2
2010,6,18,0.9,0.1,10.1
2010,6,19,0.6,19.4,7
2010,6,20,6.4,46.9,14.2
